School Name,Address,Latitude,Longitude,Postal Code,,
Henry O. Tanner Elementary School,7350 S Evans Ave,41.7592,-87.6061,60619,,
Hiram H. Belding Elementary School,"4257 N Tripp Ave, Chicago, IL",41.9592,-87.7325,60641,,
Horace Greeley Elementary School,,41.95,-87.6583,60657,,
Horace Mann Elementary School,8050 S Chappel Ave,41.7483,-87.5742,60617,,
Hyde Park Academy High School,6220 S Stony Island Ave,41.7811,-87.585,60637,,
Hyman G. Rickover Naval Academy High School,5900 N Glenwood Ave,41.9883,-87.6664,60660,,
Infinity Math Science and Technology High School,3120 S Kostner Ave,41.8361,-87.7333,60623,,
Ira F Aldridge Elementary School,,41.7642,-87.6142,60619,,
Irvin C. Mollison Elementary School,4415 S King Dr,41.8133,-87.6175,60653,,
Jackie Robinson Elementary School,,41.76,-87.6214,60619,,
James E. McDade Elementary Classical School,8801 S Indiana Ave,41.7333,-87.6175,60619,,
James Hedges Elementary School,4747 S Winchester Ave,41.8075,-87.6733,60609,,
James Hedges Elementary School,,41.8192,-87.6561,60608,,
James Madison Elementary School,7433 S Dorchester Ave,41.7592,-87.5911,60619,,
James Otis Elementary School,"525 N Armour St, Chicago, IL",41.8911,-87.6625,60642,,
James Shields Middle School,2611 W 48th St,41.805,-87.6883,60632,,
James Wadsworth Elementary School,,41.7772,-87.6111,60637,,
John B. Murphy Elementary School,"3539 W Grace St, Chicago, IL",41.9503,-87.7175,60618,,
John Barry Elementary School,2828 N Kilbourn Ave,41.9325,-87.7386,60641,,
John C. Dore Elementary School,6108 S Natoma Ave,41.7825,-87.8003,60638,,
John F. Eberhart Elementary School,3400 W 65th Pl,41.775,-87.7083,60629,,
John F. Kennedy High School,6325 W 56th St,41.7917,-87.7825,60638,,
John Fiske Elementary School,,41.7794,-87.605,60637,,
John H. Vanderpoel Elementary Magnet School,9510 S Prospect Ave,41.72,-87.6625,60643,,
John Hancock College Preparatory High School,5437 W 64th Pl,41.7761,-87.7592,60638,,
John Hay Elementary Community Academy,,41.8942,-87.7361,60651,,
John J. Pershing Elementary Humanities Magnet,3200 S Calumet Ave,41.835,-87.6183,60616,,
John M. Harlan Community Academy High School,9652 S Michigan Ave,41.7175,-87.6211,60628,,
John Marshall Metropolitan High School,"3250 W Adams St, Chicago, IL",41.8783,-87.7075,60624,,
John Palmer Elementary School,,41.9711,-87.7283,60630,,
John Spry Elementary Community School,,41.85,-87.6692,60608,,
John W. Cook Elementary School,"8150 S Bishop St, Chicago, IL",41.745,-87.6625,60620,,
John W. Cook Elementary School,"8150 S Bishop St, Chicago, IL",41.7453,-87.6625,60620,,
Jonathan Y. Scammon Elementary School,,41.9461,-87.732,60641,,
Jose De Diego Elementary Community Academy,"1313 N Claremont Ave, Chicago, IL",41.905,-87.6861,60622,,
Joseph Brennemann Elementary School,,41.9575,-87.6625,60640,,
Joseph Warren Elementary School,"9239 S Jeffery Ave, Chicago, IL",41.7261,-87.575,60617,,
Kelvyn Park High School,"4343 W Wrightwood Ave, Chicago, IL",41.9283,-87.735,60639,,
Kenwood Academy High School,"5015 S Blackstone Ave, Chicago, IL",41.8033,-87.5911,60615,,
L.E.A.R.N. - South Chicago Campus,,41.7392,-87.5542,60617,,
Lake View High School,"4015 N Ashland Ave, Chicago, IL",41.9542,-87.6683,60613,,
LaSalle Elementary Language Academy,,41.9133,-87.6347,60610,,
LaSalle II Magnet Elementary School,,41.9061,-87.68,60622,,
Laura S Ward Elementary School,,41.9025,-87.7225,60651,,
Lawndale Elementary Community Academy,,41.8603,-87.7186,60623,,
Legacy Charter School,,41.8661,-87.7111,60623,,
Lincoln Park High School,2001 N Orchard St,41.9186,-87.6426,60614,,
Lincoln Park High School,"2001 N Orchard St, Chicago, IL",41.9183,-87.6483,60614,,
Lionel Hampton Fine & Performing Arts ES,,41.7425,-87.6444,60620,,
Little Black Pearl Art and Design Academy,"1060 E 47th St, Chicago, IL",41.8092,-87.6011,60653,,
Little Village Elementary School,,41.8442,-87.705,60623,,
Louis Nettelhorst Elementary School,3252 N Broadway,41.9417,-87.6442,60657,,
Louis Pasteur Elementary School,,41.7878,-87.7125,60629,,
Louisa May Alcott College Preparatory ES,,41.936,-87.6795,60657,,
Louisa May Alcott College Preparatory HS,"2957 N Hoyne Ave, Chicago, IL",41.935,-87.6792,60618,,
Ludwig Van Beethoven Elementary School,,41.755,-87.6208,60619,,
Luke O'Toole Elementary School,,41.775,-87.6347,60621,,
Manley Career Academy High School,"2935 W Polk St, Chicago, IL",41.8711,-87.6992,60612,,
Marie Sklodowska Curie Metropolitan High School,"4959 S Archer Ave, Chicago, IL",41.8025,-87.7233,60632,,
Marine Leadership Academy at Ames,"1920 N Hamlin Ave, Chicago, IL",41.9161,-87.7211,60647,,
Mark Sheridan Math & Science Academy,,41.8425,-87.628,60616,,
Martha Ruggles Elementary School,,41.7642,-87.6142,60619,,
Mary Gage Peterson Elementary School,,41.9836,-87.6967,60630,,
Medgar Evers Elementary School,"9811 S Lowe Ave, Chicago, IL",41.715,-87.6375,60628,,
Michael Faraday Elementary School,,41.75,-87.6042,60619,,
Michele Clark Academic Prep Magnet High School,"5101 W Harrison St, Chicago, IL",41.8733,-87.7533,60644,,
Milton Brunson Math & Science Specialty ES,,41.8803,-87.745,60644,,
Minnie Mars Jamieson Elementary School,,41.985,-87.7314,60630,,
Morgan Park High School,"1744 W Pryor Ave, Chicago, IL",41.6875,-87.6692,60643,,
Morton School of Excellence,,41.8611,-87.7069,60623,,
Multicultural Arts High School,"3120 S Kostner Ave, Chicago, IL",41.8361,-87.7333,60623,,
Nathan S. Davis Elementary School,"3014 W 39th Pl, Chicago, IL",41.8211,-87.7025,60632,,
Neal F. Simeon Career Academy High School,"8147 S Vincennes Ave, Chicago, IL",41.745,-87.6333,60620,,
New Field Elementary School,,42.0064,-87.6678,60626,,
Newton Bateman Elementary School,"4220 N Richmond St, Chicago, IL",41.9592,-87.7011,60618,,
Newton Bateman Elementary School,,41.9453,-87.7192,60618,,
Nicholas Senn High School,5900 N Glenwood Ave,41.9883,-87.6664,60660,,
Nicholas Senn High School,"5900 N Glenwood Ave, Chicago, IL",41.9883,-87.6664,60660,,
Noble - Chicago Bulls College Prep,,41.9,-87.6575,60642,,
North-Grand High School,"4338 W Wabansia Ave, Chicago, IL",41.9125,-87.735,60639,,
Northside College Preparatory High School,"5501 N Kedzie Ave, Chicago, IL",41.98,-87.7083,60625,,
Northside Learning Center High School,"3730 W Bryn Mawr Ave, Chicago, IL",41.9833,-87.7233,60659,,
Ogden International High School,"1250 W Erie St, Chicago, IL",41.8933,-87.66,60642,,
Orr Academy High School,"730 N Pulaski Rd, Chicago, IL",41.8942,-87.7261,60624,,
Orville T Bright Elementary School,,41.7261,-87.625,60619,,
Orville T. Bright Elementary School,"10740 S Calhoun Ave, Chicago, IL",41.7,-87.5561,60617,,
Oscar DePriest Elementary School,,41.8942,-87.7361,60651,,
Park Manor Elementary School,,41.7403,-87.615,60619,,
Parkside Elementary Community Academy,"6938 S East End Ave, Chicago, IL",41.7683,-87.5825,60649,,
Patrick Henry Elementary School,4250 N St Louis Ave,41.9583,-87.7142,60618,,
Paul Laurence Dunbar Career Academy High School,"3000 S King Dr, Chicago, IL",41.84,-87.6175,60616,,
Paul Revere Elementary School,"1010 E 72nd St, Chicago, IL",41.7642,-87.6011,60619,,
Paul Revere Elementary School,,41.7642,-87.6011,60619,,
Percy L. Julian High School,"10330 S Elizabeth St, Chicago, IL",41.7061,-87.6592,60643,,
Perkins Bass Elementary School,,41.7806,-87.6156,60637,,
Phillip Murray Elementary Language Academy,5335 S Kenwood Ave,41.7975,-87.5933,60615,,
Phillip Murray Elementary Language Academy,,41.7975,-87.5933,60615,,
Phoenix Military Academy High School,"145 S Campbell Ave, Chicago, IL",41.8792,-87.6892,60612,,
Portage Park Elementary School,5330 W Berteau Ave,41.9561,-87.7642,60641,,
Portage Park Elementary School,"5330 W Berteau Ave, Chicago, IL",41.9561,-87.7611,60641,,
Pulaski International School of Chicago,,41.9183,-87.6822,60622,,
Rachel Carson Elementary School,,41.8103,-87.6942,60632,,
Richard Edwards Elementary School,,41.8292,-87.68,60608,,
Richard Henry Lee Elementary School,"6448 S Tripp Ave, Chicago, IL",41.7761,-87.7325,60629,,
Richard T. Crane Medical Preparatory HS,"2245 W Jackson Blvd, Chicago, IL",41.8775,-87.6842,60612,,
Richard Yates Elementary School,"1839 N Richmond St, Chicago, IL",41.915,-87.7011,60647,,
Roald Amundsen High School,5110 N Damen Ave,41.9748,-87.6793,60625,,
Roald Amundsen High School,"5110 N Damen Ave, Chicago, IL",41.975,-87.6792,60625,,
Robert A Black Magnet Elementary School,,41.7511,-87.5742,60649,,
Robert Fulton Elementary School,"5300 S Hermitage Ave, Chicago, IL",41.7975,-87.6692,60609,,
Robert Lindblom Math & Science Academy HS,"6130 S Wolcott Ave, Chicago, IL",41.7825,-87.6711,60636,,
Robert Nathaniel Dett Elementary School,"2131 W Monroe St, Chicago, IL",41.88,-87.68,60612,,
Roberto Clemente Community Academy High School,"1147 N Western Ave, Chicago, IL",41.9025,-87.6875,60622,,
Roger C. Sullivan High School,"6631 N Bosworth Ave, Chicago, IL",42.0025,-87.6692,60626,,
Roswell B. Mason Elementary School,"4217 W 18th St, Chicago, IL",41.8575,-87.7311,60623,,
Roswell B. Mason Elementary School,,41.8575,-87.7311,60623,,
Ruben Salazar Elementary Bilingual Center,,41.85,-87.6692,60608,,
Rufus M Hitch Elementary School,,41.9194,-87.6564,60610,,
Sarah E. Goode STEM Academy,"7651 S Homan Ave, Chicago, IL",41.7542,-87.7075,60652,,
Scott Joplin Elementary School,"7931 S Honore St, Chicago, IL",41.7492,-87.6693,60620,,
Sharon Christa McAuliffe Elementary School,"1841 N Springfield Ave, Chicago, IL",41.915,-87.725,60647,,
Sidney Sawyer Elementary School,"5248 S Sawyer Ave, Chicago, IL",41.7975,-87.705,60632,,
Sidney Sawyer Elementary School,,41.7975,-87.705,60632,,
Simpson Academy HS for Young Women,"1321 S Paulina St, Chicago, IL",41.8642,-87.6683,60608,,
South Shore Intl College Prep High School,"1955 E 75th St, Chicago, IL",41.7583,-87.5775,60649,,
Spry Community Links High School,"2400 S Marshall Blvd, Chicago, IL",41.8492,-87.6942,60623,,
STEM Magnet Academy,,41.8675,-87.6311,60605,,
Stephen Decatur Classical Elementary School,,41.9914,-87.6711,60660,,
Stephen K Hayt Elementary School,,41.9908,-87.6669,60660,,
Stephen T. Mather High School,"5835 N Lincoln Ave, Chicago, IL",41.9883,-87.7,60659,,
Suder Montessori Magnet ES,,41.8881,-87.6836,60612,,
The Virtual Academy Elementary School,,41.8781,-87.6298,60601,,
Theodore Herzl Elementary School,"3711 W Douglas Blvd, Chicago, IL",41.8642,-87.7175,60623,,
Theodore Roosevelt High School,"3436 W Wilson Ave, Chicago, IL",41.9642,-87.7133,60625,,
Theophilus Schmid Elementary School,"9755 S Greenwood Ave, Chicago, IL",41.7175,-87.5975,60628,,
Thomas Chalmers Specialty Elementary School,"2745 W Roosevelt Rd, Chicago, IL",41.8661,-87.6961,60608,,
Thomas J Higgins Elementary Community Academy,,41.8192,-87.6561,60608,,
Thomas Kelly College Preparatory,"4136 S California Ave, Chicago, IL",41.8183,-87.6942,60632,,
University of Chicago - Donoghue,,41.8192,-87.6069,60637,,
University of Chicago - North Kenwood/Oakland,,41.8186,-87.6031,60615,,
University of Chicago - Woodlawn,"6300 S University Ave, Chicago, IL",41.78,-87.5961,60637,,
Uplift Community High School,"900 W Wilson Ave, Chicago, IL",41.965,-87.6525,60640,,
Walter Henri Dyett High School for the Arts,"555 E 51st St, Chicago, IL",41.8025,-87.6125,60615,,
Walter Payton College Preparatory High School,1034 N Wells St,41.9012,-87.6343,60610,,
Walter Payton College Preparatory High School,"1034 N Wells St, Chicago, IL",41.9011,-87.6342,60610,,
Walter Q Gresham Elementary School,,41.75,-87.6042,60619,,
Wells Community Academy High School,"936 N Ashland Ave, Chicago, IL",41.8983,-87.6675,60622,,
Wendell E Green Elementary School,,41.7011,-87.6186,60628,,
Wendell Phillips Academy High School,"244 E Pershing Rd, Chicago, IL",41.8233,-87.6192,60653,,
West Park Elementary Academy,1425 N Tripp Ave,41.9075,-87.7325,60651,,
Whitney M. Young Magnet High School,"211 S Laflin St, Chicago, IL",41.8783,-87.6642,60607,,
Willa Cather Elementary School,"2908 W Washington Blvd, Chicago, IL",41.8833,-87.6983,60612,,
William C. Goudy Technology Academy,"5120 N Winthrop Ave, Chicago, IL",41.975,-87.6583,60640,,
William C. Goudy Technology Academy,,41.9683,-87.7192,60625,,
William F. Finkl Elementary School,"2332 S Western Ave, Chicago, IL",41.8492,-87.6861,60608,,
William H Ray Elementary School,,41.8019,-87.5942,60615,,
William H. Brown Elementary School,"54 N Hermitage Ave, Chicago, IL",41.8825,-87.6692,60612,,
William H. Ryder Math & Science Specialty ES,"8716 S Wallace St, Chicago, IL",41.735,-87.64,60620,,
William Howard Taft High School,"6530 W Bryn Mawr Ave, Chicago, IL",41.9833,-87.7925,60631,,
William J. Bogan High School,"3939 W 79th St, Chicago, IL",41.7492,-87.7211,60652,,
William J. Onahan Elementary School,6634 W Raven St,41.9961,-87.7925,60631,,
William Jones College Preparatory High School,"700 S State St, Chicago, IL",41.8725,-87.6275,60605,,
William P. Gray Elementary School,3730 N Laramie Ave,41.9492,-87.7575,60641,,
Woodlawn Community Elementary School,"6657 S Kimbark Ave, Chicago, IL",41.7733,-87.5942,60637,,
Woodlawn Community Elementary School,,41.7733,-87.5942,60637,,
World Language Academy High School,"3120 S Kostner Ave, Chicago, IL",41.8361,-87.7333,60623,,
Academy for Global Citizenship Charter School,,41.8083,-87.7401,60632,,
Acero Charter Schools - Major Hector P. Garcia MD,,41.8083,-87.7321,60632,,
Acero Charter Schools - Sor Juana Inés de la Cruz,,41.8445,-87.7643,60804,,
Acero Charter Schools - Victoria Soto,,41.8012,-87.7103,60632,,
Air Force Academy High School,,41.8283,-87.6312,60609,,
Albert G Lane Technical High School,,41.9469,-87.6901,60618,,
Amos Alonzo Stagg Elementary School,,41.7583,-87.6493,60621,,
Andrew Carnegie Elementary School,,41.7845,-87.5943,60637,,
Anna R. Langford Community Academy,,41.7845,-87.6573,60636,,
Ariel Elementary Community Academy,,41.8112,-87.5983,60653,,
Art in Motion Charter School,,41.7601,-87.5821,60649,,
Arthur A Libby Elementary School,,41.7973,-87.6612,60609,,
Ashburn Community Elementary School,,41.7423,-87.7093,60652,,
ASPIRA Business and Finance,,41.9356,-87.7153,60618,,
ASPIRA Charter School - Early College High School,,41.9378,-87.7265,60618,,
Asa Philip Randolph Elementary School,,41.7598,-87.6765,60636,,
Austin College and Career Academy High School,,41.8865,-87.7643,60644,,
Back of the Yards IB HS,,41.8083,-87.6773,60609,,
Benito Juarez Community Academy High School,,41.8523,-87.6643,60608,,
Benjamin E Mays Elementary Academy,,41.7733,-87.6373,60621,,
Bernhard Moos Elementary School,,41.9112,-87.6973,60647,,
Beulah Shoesmith Elementary School,,41.8033,-87.5943,60615,,
Bret Harte Elementary School,,41.7933,-87.5883,60637,,
Brian Piccolo Elementary Specialty School,,41.9001,-87.7321,60651,,
Bronzeville Scholastic Academy High School,,41.8045,-87.6233,60615,,
Carl Schurz High School,,41.9478,-87.7353,60641,,
Catalyst - Maria Charter School,,41.7701,-87.6933,60629,,
Charles Allen Prosser Career Academy High School,,41.9201,-87.7643,60639,,
Charles Sumner Math & Science Community Academy ES,,41.8693,-87.7033,60624,,
Charles W Earle Elementary School,,41.8743,-87.6987,60612,,
Chicago High School for Agricultural Sciences,,41.7398,-87.7153,60652,,
Chicago Vocational Career Academy High School,,41.7376,-87.5623,60617,,
Clara Barton Elementary School,,41.7735,-87.6705,60636,,
Daniel Boone Elementary School,,41.9792,-87.6936,60659,,
Disney II Magnet High School,,41.9458,-87.7098,60618,,
Dr. Martin Luther King Jr Academy of Social Justice,,41.7945,-87.6303,60615,,
Ellen H Richards Career Academy High School,,41.8001,-87.6465,60636,,
Fort Dearborn Elementary School,,41.7523,-87.6553,60620,,
Francis W Parker Elementary Community Academy,,41.7492,-87.6371,60637,,
George W Tilton Elementary School,,41.8723,-87.7073,60624,,
