RRB Number,Study Title,PI Organization,Primary Funding Source,Amount of Funding Awarded
2023-1838,Monitoring the Future: a continuing study of American y outh,Not Found,National Institutes of Health,"5,800,000.00"
2023-1916,"ADEPT (Adv ancing Disabilit y Education for P ediatric T rainees)
Study: ""Nothing About Us Without Us!""",Ann & R obert H. Lurie Children's Hospital of Chicago,"Children and Y outh with Special Health Care Needs National R esearch
Network (CYSHCNet)","15,000.00"
2023-1863,SUPERCHARGE Afterschool STEM Progr am Study,Illinois State Univ ersity,National Science F oundation,"1,349,744.00"
2022-1829,Chicago Public Schools Collectiv e Well-Being Ev aluation Study,Chapin Hall at the Univ ersity of Chicago,"Mindful Pr actices, Inc.","65,000.00"
2022-1788,Full Service Communit y Schools Student F ocus Group,AIR,Chicago Public Schools,"206,795.00"
2025-2106,FY25 Enlace Chicago Communit y Schools Progr am Ev aluation,Enlace Chicago,McCormick F oundation,"900,000.00"
2023-1908,A.I. Empowering Students through P eer-Authored Math Content,Not Found,Bill & Melinda Gates F oundation,"100,000.00"
2024-1968,"Impro ving Adolescent Social Emotional Competencies and Mental Health
Literacy via a T eacher -Led Classroom Interv ention: The Stress and Coping
Toolkit",Ann & R obert H. Lurie Children's Hospital of Chicago and North western Univ ersity,Lurie Children's Hospital Inno vator A ward,"200,000.00"
2023-1865,"Fourth Access, P articipation, Eligibilit y and Certification Study (APEC IV)",Westat,USDA,"10,000,000.00"
2024-1998,Illinois Stabilit y Investment for F amily Housing (SIFH) Pilot R ound 3,UChicago Inclusiv e Econom y Lab,Illinois Department of Human Services,"1,685,447.00"
2021-1640,Teaching and Learning through the Arts,Not Found,21st Century Communit y Learning Centers,"39,000.00"
2022-1774,Studying the Impact of Chicago’ s Univ ersal Prekindergarten Expansion,Not Found,Crown F amily F oundation,"400,000.00"
2022-1769,TALLY: Total ALL -important pregnant and parenting Y outh count,Not Found,Magoon Institute for Health y Communities,"10,000.00"
2024-1953,Oral Language Support in Kindergarten W riting Instruction,Illinois State Univ ersity,Not Found,Not Found
2022-1816,"Crisis Leadership’ s Influence on Leadership Identit y and School
Vision",University of Utah,Not Found,Not Found
2022-1501,Home Connection,Not Found,HUD,"371,917.50"
2023-1904,"Exploring the Impact of COVID-19 on Middle School T eachers
and Student ’s Motiv ation: An Instrumental Case Study",Chicago Public Schools and American College of Education,Not Found,Not Found
2024-1923,"Teach Chicago: Examining Chicago Public Schools’ T argeted Str ategies
for Recruiting and R etaining T eachers",Not Found,The Crown F amily Philanthrop y,"350,000.00"
2021-1675,School Pulse P anel (SPP),National Center for Education Statistics (NCES),Not Found,Not Found
2022-1794,Stress and Coping T oolkit Qualit y Impro vement Ev aluation,Not Found,Not Found,Not Found
2024-1927,"A Phenomenological Qualitativ e Study on T eacher P erceptions of
the Multi- Tiered Support S ystem Interv ention Process from K -2
Teachers P erception",Scammon Elementary,Not Found,Not Found
2024-1922,"Perceptions of Agency in Gr ade 5 students and teachers within
International Baccalaureate Primary Y ears Progr ammes in the
Chicago Public Schools",Not Found,Not Found,Not Found
2023-1887,"Having Opportunities Promotes Ex cellence: Dev eloping Scholar
Identities Among Underserv ed Youth with Gifts and T alents",Not Found,"Jacob K. Ja vits Gifted and T alented Students Education Progr am (J AVITS),
U.S. Department of Education","3,500,000.00"
2023-1893,interSECtions project,Not Found,Loyola Pro vost Fellowship,"1,900.00"
2022-1808,Qualitativ e Tools of Thought of Violence Prev ention Progr ams,UC Crime Lab,Baker Street F oundation,"500,000.00"
2022-1811,IES Applied Spatial T raining for Elementary Mathematics,Not Found,US Dept. of Education,"732,124.00"
2022-1766,21s CCL C Study,Aspira Inc. of IL,ISBE,"175,000.00"
2021-1751,Evaluation of Blue Cards Progr am at Cassell Elementary,Capella Univ ersity,Not Found,Not Found
2022-1773,"Impacts of Skyline Professional Dev elopment on T eacher
Practices and Student Learning",Not Found,NSF,"2,700,000.00"
2022-0721,"CAFÉCS: Exploring Connections. Modification to include family
focus groups, teacher lesson adaptation interviews, and
students enrolled in computer science courses.",Not Found,National Science F oundartion,"1,061,469.00"
2021-1625,"Integr ating Communit y Health W orkers in Schools to Support
Asthma Management",University of Chicago,Robert W ood Johnson F oundation,"525,000.00"
2022-1777,"District Staff , Teacher and Student Experiences with the Skyline
Curriculum in the first full y ear of implementation",Not Found,UChicago Consortium In vestor Council,"75,000.00"
2022-1754,Assistant Principal Engagement Surv ey,The Chicago Public Education Fund,Not Found,Not Found
2023-1879,"Listening and storytelling in civic education: F ostering empath y for
democr acy",DePaul Univ ersity,DePaul Univ ersity,"16,080.00"
2025-2137,Field Museum Connections: AANHPI Stories & the TEAACH Act,The Field Museum,Cyrus T ang F oundation,"1,000,000.00"
2022-1815,"Evaluation of a Mental Health Promotion Progr am for School- Aged
Children in Chicago: NAMI Chicago Chat",University of Illinois at Chicago,National Alliance for Mental Illness (NAMI) Chicago,"39,679.00"
2023-1895,"Validation of a Spanish-language Social R easoning Assessment for Spanish-
Speaking English Language Learners",Not Found,Institute of Education Sciences,"1,399,302.00"
2023-1897,"Increasing Student Achiev ement Through Academic Efficacy for
English Language Learners",National-Louis Univ ersity,Not Found,Not Found
2024-1921,"‘Advocates of Our Cit y’: Bridging the knowledge gap between
teenagers and architecture students at undergr aduate and
master lev els through 20th-century modern built en vironments
in Chicago",Not Found,Not Found,Not Found
2023-1917,"Does CircEsteem's HomeW ork & CircusW ork progr am address
social and emotional skill dev elopment?",Not Found,Not Found,Not Found
2023-1674,PRAA Somos Uno 21st Century Communit y Learning Centers,Complement Consulting Group,Illinois State Board of Education,"600,000.00"
2024-1973,"Principal Support and its Impact on K -8 Teacher A ttrition: A
Qualitativ e Descriptiv e Case Study",Chicago Public School,Not Found,Not Found
2024-1936,Supporting STEAM T ransformation in North La wndale,Not Found,Steans F oundation,"225,000.00"
2023-1901,Impact Study - CPS T utor Corps,Not Found,America Achiev es,"18,000,000.00"
2023-1892,Scaling Holistic Supports for Students Experiencing Housing Instabilit y,UChicago Inclusiv e Econom y Lab,Children First Fund,"45,359.00"
2022-1812,Addressing Substance Use in CPS High School Students,Rush Univ ersity Medical Center,Nursing,"8,500.00"
2025-2095,"Evaluation of FLA SH High School Sexual Health Education Curriculum
Implementation in Chicago Public Schools",Texas A & M Univ ersity,"Department of Health and Human Services, Office of P opulation Affairs (OP A), Federal Teen
Pregnancy Prev ention Progr am 5- year Gr ant","7,400,000.00"
2023-1872,"A longitudinal multi-site case study on the effectiv eness and
implementation of food w aste reduction initiativ es in K -12
schools",Not Found,National Science F oundation,"20,000.00"
2022-1764,BGCA National Y outh Outcomes Initiativ e Surv ey 2021*,3C Institute,Not Found,Not Found
2022-1781,Lawndale Communit y Academ y 21st Century Ev aluation,Not Found,"United States Department of Education Title IV , Part B of the ESEA, as
amended b y the Ev ery Student Succeeds Act (ES SA)","150,000.00"
2024-1963,An Observ ational Study of Br ain Breaks in K -2 Classrooms,ERIKSON INSTITUTE,Institute for Education Sciences,"1,400,000.00"
2021-1567,Early In vestments Project,BIP Lab,McCormick F oundation,"350,000.00"
2024-1989,"Addressing Disparities in Psy chiatric Service Utilization among
Adolescents: A Comprehensiv e Examination of School-Based
Health Centers in a Large Midwestern Public School S ystem",Rush Univ ersity College of Nursing,Herrendorf Gr ant,"10,000.00"
2022-1767,Enhancing Educational and En vironmental A wareness Outcomes Through Photo voice,Emory Univ ersity,Emory Univ ersity,"10,000.00"
2022-1694,"Promoting Entrepreneurship among Low -Income Y outh with
Disabilities Project ID #1694",UIC,"National Institute on Disabilit y, Independent Living, and R ehabilitation R esearch","494,994.00"
2022-1823,Illinois T ransitional Math Initial Ev aluation,Northern Illinois Univ ersity,Illinois Communit y College Board,"50,000.00"
2023-1918,"Designing R obot Coaches to Support Child Social Emotional
Learning",Not Found,the Chapin Hall-Univ ersity of Chicago Joint R esearch Fund (JRF),"63,960.00"
2023-1905,2024 National Surv ey of Early Care and Education,Not Found,The Administr ation for Children & F amilies,"27,000,000.00"
2023-1888,"Understanding how Individual Differences Impact the
Effectiv eness of Gesture as a T eaching T ool",Not Found,Not Found,Not Found
2023-1698,Evaluating College-P ersistence Counseling in Chicago,University of Notre Dame,Not Found,Not Found
2024-1983,"Adapting Amir a – the first AI -powered K -6 intelligent reading tutor – to support
low-literate adolescents (g. 7-12) in becoming motiv ated and masterful readers,
through a student -led and student -centered co-design process.",Amira Learning,Learning Econom y Foundation,"400,000.00"
2023-1886,"Middle School Student P erspectiv es of Bullying in Special
Education",Concordia Univ ersity Chicago,Not Found,Not Found
2023-1912,"Impact of Student V oice in the (Dis)Engagement of Middle
School Students in Urban Elementary School and Academic
Achiev ement",National Louis Univ ersity,Not Found,Not Found
2024-1962,Illinois Y outh T obacco Surv ey,University of Illinois Urbana-Champaign,"Illinois Department of Public Health, CDC","500,000.00"
2024-1930,Arts Integr ation and Social Emotional Learning,University of Illinois at Chicago,Chicago Arts P artnerships in Education,"5,000.00"
2022-1810,"Second Study of Nutrition and Activit y in Child Care Settings
(SNACS II)",Mathematica,"United States Department of Agriculture, F ood and Nutrition Service (USDA,
FNS)","13,154,750.00"
1695,"Children’ s Liter acy Initiativ e Gener al Evaluation in P artner
Chicago Public Schools",Not Found,Not Found,Not Found
2024-1966,"Designing Open- Access Curricular Supports to Deepen Discussions in W orld
History (DD WH) Dev elopment and Inno vation: Civics and Social Studies T opic
(also called “W orld History Lessons Pilot Study”)",Digital Promise Global,U.S. Department of Education/Institute of Education Science,"1,999,879.00"
2024-1954,Art Ther apy Approaches in School Counseling,Not Found,School-Based Mental Health Services Gr ant,"5,000.00"
2022-1759,(Re)constructing Space in P andemic Learning,UIC,Chicago Arts P artnerships in Education,"5,000.00"
2022-1756,Implementation Study - CPS T utor Corps,Not Found,America Achiev es,"18,000,000.00"
2022-1760,This is not a research project.,Envision Communit y Services,ISBE,"600,000.00"
2021-1750,Poetry P edagogy Among Y outh in Chicago,Brown Univ ersity,Not Found,Not Found
2025-2067,"Longitudinal Ev aluation of the Special Olympics North America Unified
Champion Schools Progr am",University of Minnesota,Special Olympics North America,"1,400,000.00"
2024-1952,I4all (Interests for All) - Steambassadors,North western Univ ersity,Vivo Foundation,"100,000.00"
2022-1818,"Disseminating R esearch-based Agricultur al & F ood Education in
Classrooms with T eacher Professional Dev elopment and Student
Advocacy Activities",Not Found,USDA - National Institute of F ood and Agriculture,"169,878.00"
2022-1821,"The R espected School Leader: Building on Y our Char acter T raits
and T ransformational Leadership Skills",Northeastern Illinois Univ ersity,Not Found,Not Found
2021-1633,The Success Ov er Stress Violence Prev ention Project,Not Found,National Institute of Mental Health (NIMH) / R ush Univ ersity,"6,600,000.00"
2023-1914,"CPS Story and CPS PL - How CPS ended up focusing on classroom
learning conditions and student experience, how they came to adopt
the Cultiv ate surv ey, and how to plan for coordinated aligned
Professional Learning around the Cultiv ate surv ey and student
experience data. In telling this story we are interested in how ideas
traveled through schools, school support organizations, and the
district office -- where they came from, how they spread, who were
potent messengers -- that led us to this moment where CPS w ants to
make a real change in how it thinks about school impro vement (e.g. ,
new accountabilit y policy , new professional learning plan focused on
learning conditions and continuous impro vement, adoption of Cultiv ate
and Elev ate district -wide). W e know that CPS is ahead of the field
nationally , and we w ant to capture the ev olution of this really
significant mo vement from multiple perspectiv es while it is unfolding.
In addition, we w ant to garner expertise in professional learning and
understand from pro viders what matters most in a professional
learning plan that centers student experience data.",UChicago Consoriu,Consortium In vestor Council,"8,000.00"
2024-1974,"2024-2025 Study of Implementation and Efficacy of Achiev e in
AP Classes","Macmillan Learning/Bedford, Freeman & W orth",Not Found,Not Found
2023-1903,"Developing Concept of V ariable Among Students With
Mathematics Difficulties in Prepar ation for Algebr a 1",Not Found,National Science F oundation,"1,718,368.00"
2023-1889,"Illinois State Board of Education (ISBE) P erformance Ev aluation
Reform Act (PERA) Implementation Study",American Institutes for R esearch,Illinois State Board of Education,"2,777,112.97"
2022-1786,"In Ma y 2019, Crown F amily Philanthropies (CFP) began the Chi-
Rise progr am as one k ey initiativ e in their larger Education
portfolio . The Chi-Rise progr am seeks to impro ve the college
enrollment, persistence, and degree attainment r ates among
Chicago Public Schools students and gr aduates, with a focus on
supporting students from low -income families and students from
racial and ethnic populations that are historically
disproportionately underrepresented in higher education. The
progr am has three main components: Fit & Match (high school
supports), Finance (financial aid supports), and Finish (higher
education supports). The proposed dev elopmental and learning
evaluation will be designed to 1) dev elop, test, and refine Chi-
Rise’s Theory of Change (T OC); 2) document progr am
implementation successes and lessons learned to date; 3)
assess the early outcomes of the initiativ e for students,
educators, schools, and partners; and 4) identif y school,
partner , and student needs.",Metis Associates,Crown F amily Philanthropies,"300,000.00"
2023-1894,"The Continuous F ailure of Continuous Impro vement: The
Challenge of Implementing Continuous Impro vement in Low
Income Schools",University of Southern California,Not Found,Not Found
2023-1907,"Teachers’ P erceptions of Students in Lower and Higher T racked
Math Classes: A Basic Qualitativ e Study",Not Found,Not Found,Not Found
2024-1926,"Informed P ortraits: The Educational Experiences of Homeless,
Black, High- Achieving Adolescents and Y oung Adults",UC Inclusiv e Econom y Lab,National Science F oundation,"683,554.00"
2023-1913,"Implementation of Sexual Violence Prev ention Progr amming in US
Schools",University of W ashington,Oak F oundation / Tides,"99,944.00"
2022-1806,"A Qualitativ e Study on T eachers’ P erceptions of Managing
Personaliz ed Learning Models",American College of Education,Not Found,Not Found
2022-1820,Understanding T eachers' Use of R esearch R esources,University of Chicago,University of Chicago Institute for the F ormation of Knowledge,"30,000.00"
2024-1958,Tools for Democr atizing R esearch Use,NORC at the Univ ersity of Chicago,NORC DREI Inno vation Fund,"49,930.00"
2025-2106,FY25 Enlace Chicago Communit y Schools Progr am Ev aluation,Enlace Chicago,McCormick F oundation,"900,000.00"
2024-1947,The Full- Service Communit y Schools Study,Mathematica,Not Found,Not Found
2022-1755,"Experiencing College Early: Dual enrollment, dual credit, and AP
students and their college outcomes",Not Found,Joyce Foundation,"200,000.00"
2023-1873,"Supporting T eachers to Dev elop Equitable Mathematics Instruction Through HEAR -
MI Coaching: Honoring Equit y and Access, R ubrics for Mathematics Instruction",University of Dela ware,National Science F oundation,"2,997,785.00"
2022-1765,"Developing and Piloting a School-Based Prev entive Interv ention for
Adolescents at Risk for Depression and Anxiet y in a Chicago Public High
School",UIC,UIC,"2,000.00"
2021-1677,The YMCA of Metropolitan Chicago Currently R uns,YMCA of Metropolitan Chicago,Not Found,Not Found
2021-1705,"Who Belongs in Neighborhood Schools: Appropriate Student Services,
Alternativ e High Schools, and Push-out",Not Found,"Center for the Study of R ace, P olitics & Culture; William T . Grant Foundation","75,000.00"
2021-1422,Geospatial Semester R esearch and Ev aluation,The Learning P artnership,National Science F oundation,"1,058,040.00"
2023-1884,The Dreamers and Believ ers Ev aluation,"Leah Q . Peoples, Ph.D .",Common Ground F oundation,"25,000.00"
2024-1985,"Comprehensiv e Evaluation of ACT Now Full Service Communit y Schools
(FSCS) State Scaling","Planning, Implementation, and Ev aluation (PIE) Org",ACT Now (through US Department of Education Gr ant),"18,840,800.00"
2021-1687,A Study of the MSI Science Leadership Initiativ e,Not Found,Not Found,Not Found
2021-1498,Youth Risk Beha vior Surv ey,Not Found,CDC DA SH What W orks in Schools and School-Based Surv eillance,"65,000.00"
2023-1883,"Frida K ahlo Communit y Organization’ s Educational Experience through Communit y
and Health y Opportunities (EECHO) Full- Service Communit y Schools",Frida K ahlo Communit y Organization,U.S. Department of Education,"2,792,835.00"
1690,"Culinary Medicine on Chicago’ s South Side: An Integr ative Medicine Approach for
Medical Students and The Communit y",University of Chicago,The W eil Foundation,"30,000.00"
2023-1110,"ESTELE: Dev eloping The Next Gener ation Of NGS S Elementary
Science T eacher Leaders",Not Found,National Institutes of Health,"1,309,419.00"
2021-1550,"Supporting R efugee and Immigr ant Youth: Assessing F easibilit y,
Acceptabilit y, and Impact of a School-based Interv ention",Loyola Univ ersity Chicago,National Institute of Mental Health,"413,187.00"
2022-1761,"Novice Dual Language T eachers: P erceptions of Mentoring and
Induction Support",Chicago Public Schools,Not Found,Not Found
2021-1681,2021 Summer CSI Ev aluation Activities,American Institutes for R esearch,Not Found,Not Found
2021-1532,"Evaluation of ""Promoting Adolescent Health through School-
Based HIV Prev ention""",Not Found,"Centers for Disease Control and Prev ention Division of Adolescent and School
Health","75,000.00"
2021-1584,"Professional Dev elopment for K -12 Science teachers in
Linguistically Div erse...",University of Illinois at Chicago,National Science F oundation,"847,245.00"
2020-996,Supporting Student Motiv ation,Not Found,Not Found,Not Found
2024-1967,"Building student -teacher relational trust through the promotion of
student -voice",Chicago Public Schools,Not Found,Not Found
2023-1866,Verizon Inno vative Learning Schools Cohort 10 Ev aluation,Center for Inclusiv e Inno vation Digital Promise Global,Verizon Foundation,"1,127,261.00"
1430,"Developing T ransformational Learning Labs/ Building Equitable
Learning En vironments Network",Not Found,Raikes Foundation,"1,585,733.00"
2022-1836,"Technology -facilitated sexual violence among adolescents in
Chicago Public Schools",Not Found,Not Found,Not Found
2023-1909,"Teaching about R ace and R acial History: The View from Chicago
Educators",Not Found,Spencer F oundation,"499,940.00"
2024-1986,"Loyola Univ ersity Chicago has receiv ed a 5- year gr ant from the US
Department of Education to support civic education pr actices in 8 CPS
schools. These supports include teacher support, learning activities for
students, and communit y partnerships. The intent of the project is to
strengthen pedagogical pr actices in civic education and strengthen
student civic knowledge, skills, and dispositions. W e are ev aluating the
efficacy of these supports for student civic dispositional growth.",Loyola Univ ersity Chicago,US Department of Education,"660,000.00"
2024-1955,"Developing a Cultur ally-adapted School-based Suicide
Prevention Interv ention for Black Middle School Students in
Chicago",university of chicago,National Institute of Mental health,"738,000.00"
2023-1911,"Closing the Opportunit y Gap for Under -represented Students: A School’ s Approach to
Implement Competency Based STEM to Close the Opportunit y Gap",National Louis Univ ersity,Not Found,Not Found
2024-1932,"Crowd+AI T ools to Map , Analyz e, and Visualiz e Sidew alk Accessibilit y
for Inclusiv e Cities",UIC,National Science F oundation,"2,018,000.00"
2024-1924,“School leaders and English Learner teaching supports”,National Louis Univ ersity,Not Found,Not Found
2024-1960,"The influence of chronot ype and sleep qualit y on school
functioning",Northeastern Illinois Univ ersity,Not Found,Not Found
2023-1858,"Implementation of the State Plan Amendment in Chicago Public
Schools",Not Found,University of Chicago Allison Da vis Student R esearch A ward,"5,000.00"
2021-1688,MathMatch T utoring Progr am,Not Found,Overdeck F amily F oundation,"492,346.00"
2022-1698,"Understanding R eporting Barriers of Allegations Among Chicago
Public Schools Students: A P artnership with the Office of
Student Protections",University of Illinois at Chicago School of Public Health,"Doris Duk e Charitable F oundation through the Child W ell-Being R esearch
Network R esearch to Action Gr ants","80,000.00"
2023-1902,Assessing the Impact of ETHOS,Not Found,Dana F oundation,"1,000,000.00"
2023-1867,"Promoting Urban Sleep Health among R acial and Ethnic Minorit y
Adolescents",Not Found,Health EQ Collabor ative,"50,000.00"
2021-1646,"Understanding Opportunities and Challenges in T eacher Leaders'
Facilitation of Prefessional Learning Communities",Not Found,Not Found,Not Found
2024-2030,"The Art of Pretending: The Psy chological Impact of Code-
Switching on African American W omen Leaders in Chicago Public
Schools.",National Univ ersity,Not Found,Not Found
2021-1299,"Implementing a Flexible, Cultur ally R elevant Intermediate Computing",University of Chicago,National Science F oundation,"1,262,256.00"
2020-1616,"Cultiv ating Expansiv e Learning at the Intersections of STEAM,
Critical Liter acies, and Civics Education",North western Univ ersity,CPS/SESP R apid Impact Gr ant,"28,462.00"
2023-1859,Integr ation of Computational Thinking in Mathematics Pilot Study,AIR,IES/REL Midwest,"50,000.00"
2023-1869,“The R ole of Leadership in SEL Implementation”,National Louis Univ ersity,Not Found,Not Found
2024-1928,Study of the Str ategic Adolescent R eading Interv ention (ST ARI),Not Found,United States Department of Education,"14,999,841.00"
2022-1797,"A Basic Qualitativ e Examination on T eachers' P erceptions of
Implementing Cultur ally R esponsiv e Practices in Urban
Elementary Classrooms",George Pullman School,Not Found,Not Found
2021-1487,Pathways to Success Study,Not Found,Institute of Education Sciences,"3,300,000.00"
2021-387,"Developing P erformance Benchmarks for Communit y School
Progr ams",Not Found,Not Found,Not Found
2022-1794,Stress and Coping T oolkit Qualit y Impro vement Ev aluation,Not Found,Not Found,Not Found
2021-1059,School Leadership in Chicago,The Chicago Public Education Fund,Not Found,Not Found
2024-1931,New Leaders National Aspiring Principals F ellowship,American Institutes for R esearch,"United States Department of Education Supporting Effectiv e Educator
Development (SEED) gr ant","9,876,928.00"
2022-1814,"Resilient W arriors: An expressiv e arts-based resiliency progr am
to promote positiv e outcomes in elementary students",Not Found,Northeastern Illinois Univ ersity,"4,000.00"
2023-1875,"Puerto Rican Arts Alliance Somos Uno Full- Service Communit y
Schools",Complement Consulting Group,Department of Education,"500,000.00"
2024-1967,"Building student -teacher relational trust through the promotion of
student -voice",Chicago Public Schools,Not Found,Not Found
2022-1784,"Museums + Y ou: Personaliz ed Learning and Communit y
Engagement P artnership Progr am Ev aluation",The Field Museum,Symons Charitable T rus,"50,000.00"
2023-1860,"Evaluation of the W orking on Knowledge and Equit y Project: A Y outh
Development Progr am",Not Found,Communities United,"75,000.00"
2022-1802,EFFECTIVE MODELS FOR SUCCES SFUL STUDENT OUT COMES,Hanover Research,Not Found,Not Found
2022-1807,"Collabor ative Research: Engaging High School Students in Computer Science
with Co-creativ e Learning Companions",Georgia Institute of T echnology,National Science F oundation,"2,119,822.00"
2022-1819,Scientific Inquiry to Justice Action W orkshops,Not Found,DePaul Univ ersity,"151,422.00"
2024-1988,SUPERCHARGE Afterschool STEM Progr am Study Y ear 2,Illinois State Univ ersity,National Science F oundation,"1,349,744.00"
2023-1919,"The Puerto Rican Cultur al Center's Communit y As A Campus
Initiativ e provides CPS schools with a unique and hands on
learning experience b y providing h ydroponic towers in
participating schools/progr ams. The Urban Agriculture progr am
takes a holistic approach to understand and impro ve food
health, education, and sustainabilit y within Humboldt P ark's
food desert and bey ond. The study would encompass div erse
objectiv es that aim to quantif y discarded lunches, in vestigate
student's food choices, and assess the impact food has on
student motiv ation and academic performance. Existing
research underscores concerns about the nutritional qualit y of
school lunches and their links to socioeconomic factors. A gap
exists in understanding the reasons behind uneaten lunches.
Data collection methods include a surv ey, observ ations, and a
food w aste audit, with a r andom sampling approach. The
research spans 6 months, in volving data collection, analysis,
and report prepar ation. This research seeks to identif y common
themes in uneaten lunches and explore potential solutions. By
doing so , it aims to inform the communit y about the nutritional
needs and o verall well-being of students, ultimately impro ving
school lunch progr ams.",Puerto Rican Cultur al Center,Chicago R egion F ood S ystems Fund,"75,000.00"
2024-1987,"Critical Support S ystems: High Impact Local School Council-
Principal Supports for No vice Principals in Chicago Public Schools",National Louis Univ ersity,Not Found,Not Found
2024-1933,"CS Inclusion - Adv ancing Equit y and Inclusion in K -12 CS
Education for Students with Disabilities",Not Found,"Google, Inc.","100,000.00"
2023-1885,"“Understanding the Newcomer Experience from the P erspectiv es
of Teacher and Student ”",National Louis Univ ersity,Not Found,Not Found
2021-1632,"Next Gener ation of Enhanced Emplo yment Str ategies
(NextGen): Ev aluation of Bridges from School to W ork (Bridges)",Not Found,"Office of Planning, R esearch, and Ev aluation in the Administr ation for
Children and F amilies (ACF), U .S. Department of Health and Human Services
in partnership with the Social Securit y Administr ation (S SA)","32,112,872.00"
2023-1880,"Connecting Classrooms to Congress: F ostering Informed Civic
Engagement via Online Deliber ative Town Halls","CERG at the Univ ersity of California, Riv erside",Institute of Education Sciences 012557-002$2 million,"2,000,000.00"
2024-1934,Teach F or America (TF A) 2024 National Principal Surv ey,Westat,Not Found,Not Found
